id	sign	name_ja	fid	nday	n_ja
mc-52	🎁	Souvenir JAPAN WEST 大阪・関西万博店	L81		8520
mc-53	🍙	セブン-イレブン 西ゲート店 ⭐️	W81		8530
mc-54	🎁	KANSAIマルシェいちびり庵	W81		8540
mc-55	☕	菓匠 芭蕉堂 和スイーツカフェ	W81		8550
mc-56	☕	神戸養蜂場カフェ	W81		8560
mc-57	🍱	のり結び（大森屋おむすび専門店）	W81		8570
mc-58	🎁	2025大阪・関西万博 会場内 オフィシャルストア 西ゲート店 JR西日本グループ	W81		8580
mc-59	🎁	2025大阪・関西万博 会場内 オフィシャルストア 西ゲート店 KINTETSU	W81		8590
mc-60	🍱	醗酵食堂 Hasshoku	P81		8600
mc-61	🍱	MARE produced by Mrs. Istanbul	P81		8610
mc-62	🍙	ファミリーマート 大阪・関西万博店	P81		8620
mc-63	🎁	felissimore（フェリシモっと）大阪・関西万博店	P81		8630
mc-64	🍱	好きやねん大阪 フードコート EAST SIDE（2F）	P81		8640
mc-65	🍱	ラウンジ＆ダイニング	E14		8650
mc-66	🍱	くら寿司 大阪・関西万博店 ⭐️	L82		8660
mc-67	🍱	スシロー 未来型万博店 ⭐️	F82		8670
mc-68	🍱	MANEKI FUTURE STUDIO JAPAN	F83		8680
mc-69	☕	らぽっぽファーム〜おいもとイチゴとりんごの farm to table〜	F84		8690
mc-70	☕	月化粧ｘうなぎパイ 大阪・関西万博店	P82		8700
